分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
30 歲以下,我很認同這件事想達成的目標,7,10,0.7,0.8298,0.84,,L1（僅供參考）
30 歲以下,我認同這個社群，想成為其中一員,7,10,0.7,0.4255,1.64,,L1（僅供參考）
30 歲以下,純粹覺得好玩、有趣,5,10,0.5,0.3404,1.47,,L1（僅供參考）
30 歲以下,想認識新朋友、找到同好,4,10,0.4,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,身邊有人在做，我就跟著加入,4,10,0.4,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,累積作品集，練功或建立好名聲,4,10,0.4,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,其他（自由填答）,0,10,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,我很認同這件事想達成的目標,15,19,0.7895,0.8298,0.95,,L1（僅供參考）
31 到 40 歲,我認同這個社群，想成為其中一員,9,19,0.4737,0.4255,1.11,,L1（僅供參考）
31 到 40 歲,純粹覺得好玩、有趣,6,19,0.3158,0.3404,0.93,,L1（僅供參考）
31 到 40 歲,想認識新朋友、找到同好,7,19,0.3684,0.2766,1.33,,L1（僅供參考）
31 到 40 歲,身邊有人在做，我就跟著加入,4,19,0.2105,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,累積作品集，練功或建立好名聲,1,19,0.0526,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,其他（自由填答）,1,19,0.0526,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,我很認同這件事想達成的目標,17,18,0.9444,0.8298,1.14,,L1（僅供參考）
41 歲以上,我認同這個社群，想成為其中一員,4,18,0.2222,0.4255,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,純粹覺得好玩、有趣,5,18,0.2778,0.3404,0.82,,L1（僅供參考）
41 歲以上,想認識新朋友、找到同好,2,18,0.1111,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,身邊有人在做，我就跟著加入,4,18,0.2222,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,累積作品集，練功或建立好名聲,1,18,0.0556,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,其他（自由填答）,0,18,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
